t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,oracle_cx,oracle_cy,oracle_w,oracle_h,det_bbox_cx,det_bbox_cy,det_new,track_cx,track_cy,track_w,track_h,track_id,pix_err_vs_oracle,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.01,-0.02,-8.69,0.51,-0.02,0.00,320.0,208.1,127.6,255.2,320.0,208.1,1,320.0,208.1,127.6,255.2,1,0.0,0.638,0.000,0.0000,0.0
0.050,0.01,-0.02,-8.69,0.52,-0.02,0.00,320.0,207.3,127.6,255.2,320.0,208.1,0,320.0,208.1,127.6,255.2,1,0.8,0.638,0.000,0.0000,50.1
0.100,0.01,-0.01,-8.81,0.54,-0.02,0.00,324.1,207.1,125.9,251.7,320.0,208.1,0,320.0,208.1,127.6,255.2,1,4.2,0.638,0.000,0.0000,50.1
0.150,0.01,-0.01,-8.81,0.55,-0.02,0.00,324.2,206.4,125.9,251.7,320.0,208.1,0,320.0,208.1,127.6,255.2,1,4.5,0.638,0.000,0.0000,50.0
0.200,0.01,-0.01,-8.92,0.56,-0.02,0.00,324.2,206.0,124.3,248.5,320.0,208.1,0,320.0,208.1,127.6,255.2,1,4.7,0.638,0.000,0.0000,50.1
0.250,0.01,-0.01,-8.92,0.58,-0.02,0.00,324.3,205.2,124.3,248.5,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.2,0.638,0.000,0.0000,50.1
0.300,0.01,-0.01,-9.02,0.59,-0.02,0.00,324.2,205.1,122.8,245.7,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.2,0.638,0.000,0.0000,50.1
0.350,0.01,-0.01,-9.02,0.60,-0.02,0.00,324.3,204.3,122.8,245.7,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.8,0.638,0.000,0.0000,50.1
0.400,0.03,-0.01,-9.12,0.61,-0.02,0.00,324.3,204.6,121.6,243.2,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.5,0.638,0.000,0.0000,50.1
0.451,0.03,-0.01,-9.12,0.63,-0.02,0.00,324.4,203.9,121.6,243.2,320.0,208.1,0,320.0,208.1,127.6,255.2,1,6.1,0.638,0.000,0.0000,50.1
0.501,0.05,-0.01,-9.20,0.64,-0.02,0.00,324.4,204.7,120.5,241.0,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.6,0.638,0.000,0.0000,50.1
0.551,0.05,-0.01,-9.20,0.65,-0.02,0.00,324.5,203.9,120.5,241.0,320.0,208.1,0,320.0,208.1,127.6,255.2,1,6.1,0.638,0.000,0.0000,50.1
0.601,0.07,-0.02,-9.27,0.66,-0.02,0.00,324.5,205.2,119.5,239.0,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.4,0.638,0.000,0.0000,50.1
0.651,0.07,-0.02,-9.27,0.68,-0.02,0.00,324.6,204.4,119.5,239.0,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.9,0.638,0.000,0.0000,50.1
0.701,0.11,-0.02,-9.34,0.69,-0.02,0.00,324.6,206.0,118.7,237.4,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.1,0.638,0.000,0.0000,50.1
0.751,0.11,-0.02,-9.34,0.70,-0.02,0.00,324.7,205.3,118.7,237.4,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.5,0.638,0.000,0.0000,50.1
0.801,0.15,-0.03,-9.39,0.71,-0.02,0.00,324.8,207.2,118.0,236.1,320.0,208.1,0,320.0,208.1,127.6,255.2,1,4.9,0.638,0.000,0.0000,50.1
0.851,0.15,-0.03,-9.39,0.73,-0.02,0.00,324.9,206.4,118.0,236.1,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.2,0.638,0.000,0.0000,50.1
0.901,0.20,-0.03,-9.43,0.74,-0.02,0.00,324.9,208.5,117.5,235.0,320.0,208.1,0,320.0,208.1,127.6,255.2,1,4.9,0.638,0.000,0.0000,50.1
0.951,0.20,-0.03,-9.43,0.75,-0.02,0.00,325.0,207.8,117.5,235.0,320.0,208.1,0,320.0,208.1,127.6,255.2,1,5.0,0.638,0.000,0.0000,50.1
1.001,0.24,-0.04,-9.46,0.76,-0.02,0.00,325.1,210.1,117.1,234.3,325.1,207.1,1,325.1,207.1,117.5,235.0,2,3.0,0.659,0.102,0.0000,50.1
1.051,0.24,-0.04,-9.46,0.78,-0.02,0.00,325.2,209.3,117.1,234.3,325.1,207.1,0,320.0,208.1,127.6,255.2,1,5.3,0.638,0.000,0.0000,50.1
1.101,0.30,-0.04,-9.48,0.79,-0.02,0.00,325.2,211.8,116.9,233.8,325.1,207.1,0,320.0,208.1,127.6,255.2,1,6.4,0.638,0.000,0.0000,50.1
1.151,0.30,-0.04,-9.48,0.80,-0.02,0.00,325.3,211.1,116.9,233.8,325.1,207.1,0,320.0,208.1,127.6,255.2,1,6.1,0.638,0.000,0.0000,50.1
1.202,0.35,-0.05,-9.50,0.81,-0.02,0.00,325.4,213.6,116.7,233.5,325.1,207.1,0,320.0,208.1,127.6,255.2,1,7.7,0.638,0.000,0.0000,50.1
1.252,0.35,-0.05,-9.50,0.83,-0.02,0.00,325.5,212.9,116.7,233.5,325.1,207.1,0,320.0,208.1,127.6,255.2,1,7.3,0.638,0.000,0.0000,50.1
1.302,0.41,-0.06,-9.50,0.84,-0.02,0.00,325.5,215.6,116.7,233.4,325.1,207.1,0,320.0,208.1,127.6,255.2,1,9.3,0.638,0.000,0.0000,50.1
1.352,0.41,-0.06,-9.50,0.85,-0.02,0.00,325.6,214.9,116.7,233.4,325.1,207.1,0,320.0,208.1,127.6,255.2,1,8.7,0.638,0.000,0.0000,50.1
1.402,0.47,-0.06,-9.50,0.86,-0.02,0.00,325.6,217.6,116.7,233.4,325.1,207.1,0,320.0,208.1,127.6,255.2,1,11.0,0.638,0.000,0.0000,50.1
1.452,0.47,-0.06,-9.50,0.88,-0.02,0.00,325.7,216.9,116.7,233.4,325.1,207.1,0,320.0,208.1,127.6,255.2,1,10.4,0.638,0.000,0.0000,50.1
1.502,0.53,-0.07,-9.49,0.89,-0.02,0.00,325.7,219.7,116.8,233.6,325.1,207.1,0,320.0,208.1,127.6,255.2,1,12.9,0.638,0.000,0.0000,50.1
1.552,0.53,-0.07,-9.49,0.90,-0.02,0.00,325.8,218.9,116.8,233.6,325.1,207.1,0,325.1,207.1,117.5,235.0,2,11.9,0.659,0.102,0.0000,50.1
1.602,0.59,-0.07,-9.49,0.91,-0.02,0.00,325.8,221.8,116.9,233.7,325.1,207.1,0,325.1,207.1,117.5,235.0,2,14.8,0.659,0.102,0.0000,50.0
1.652,0.59,-0.07,-9.49,0.93,-0.02,0.00,325.9,221.1,116.9,233.7,325.1,207.1,0,325.1,207.1,117.5,235.0,2,14.0,0.659,0.102,0.0000,50.1
1.702,0.65,-0.08,-9.48,0.94,-0.02,0.00,325.9,224.0,117.0,233.9,325.1,207.1,0,325.1,207.1,117.5,235.0,2,17.0,0.659,0.102,0.0000,50.1
1.752,0.65,-0.08,-9.48,0.95,-0.02,0.00,326.0,223.3,117.0,233.9,325.1,207.1,0,325.1,207.1,117.5,235.0,2,16.2,0.659,0.102,0.0000,50.1
1.802,0.72,-0.09,-9.47,0.96,-0.02,0.00,326.0,226.3,117.0,234.1,325.1,207.1,0,325.1,207.1,117.5,235.0,2,19.2,0.659,0.102,0.0000,50.1
1.852,0.72,-0.09,-9.47,0.98,-0.02,0.00,326.1,225.5,117.0,234.1,325.1,207.1,0,325.1,207.1,117.5,235.0,2,18.5,0.659,0.102,0.0000,50.1
1.902,0.78,-0.09,-9.46,0.99,-0.02,0.00,326.0,228.6,117.1,234.3,325.1,207.1,0,325.1,207.1,117.5,235.0,2,21.5,0.659,0.102,0.0000,50.1
1.952,0.78,-0.09,-9.46,1.00,-0.02,0.00,326.1,227.9,117.1,234.3,325.1,207.1,0,325.1,207.1,117.5,235.0,2,20.8,0.659,0.102,0.0000,50.1
2.002,0.85,-0.10,-9.46,1.01,-0.02,0.00,325.9,230.9,117.2,234.4,326.2,227.2,1,326.2,227.2,117.1,234.3,3,3.8,0.257,0.123,0.0000,50.1
2.053,0.85,-0.10,-9.46,1.03,-0.02,0.00,326.0,230.2,117.2,234.4,326.2,227.2,0,325.1,207.1,117.5,235.0,2,23.2,0.659,0.102,0.0000,50.1
2.103,0.91,-0.10,-9.45,1.04,-0.02,0.00,325.7,233.3,117.3,234.5,326.2,227.2,0,325.1,207.1,117.5,235.0,2,26.3,0.659,0.102,0.0000,50.1
2.153,0.91,-0.10,-9.45,1.05,-0.02,0.00,325.8,232.6,117.3,234.5,326.2,227.2,0,325.1,207.1,117.5,235.0,2,25.5,0.659,0.102,0.0000,50.1
2.203,0.98,-0.10,-9.45,1.06,-0.02,0.00,325.5,235.7,117.3,234.6,326.2,227.2,0,325.1,207.1,117.5,235.0,2,28.7,0.659,0.102,0.0000,50.1
2.253,0.98,-0.10,-9.45,1.08,-0.02,0.00,325.6,235.0,117.3,234.6,326.2,227.2,0,325.1,207.1,117.5,235.0,2,27.9,0.659,0.102,0.0000,50.1
2.303,1.05,-0.10,-9.45,1.09,-0.02,0.00,325.3,238.1,117.3,234.7,326.2,227.2,0,325.1,207.1,117.5,235.0,2,31.1,0.659,0.102,0.0000,50.1
2.353,1.05,-0.10,-9.45,1.10,-0.02,0.00,325.4,237.4,117.3,234.7,326.2,227.2,0,325.1,207.1,117.5,235.0,2,30.3,0.659,0.102,0.0000,50.1
2.403,1.11,-0.10,-9.45,1.11,-0.02,0.00,325.0,240.5,117.4,234.7,326.2,227.2,0,325.1,207.1,117.5,235.0,2,33.5,0.659,0.102,0.0000,50.1
2.453,1.11,-0.10,-9.45,1.13,-0.02,0.00,325.1,239.8,117.4,234.7,326.2,227.2,0,325.1,207.1,117.5,235.0,2,32.7,0.659,0.102,0.0000,50.1
2.503,1.18,-0.10,-9.45,1.14,-0.02,0.00,324.7,243.0,117.4,234.7,326.2,227.2,0,325.1,207.1,117.5,235.0,2,35.9,0.659,0.102,0.0000,50.1
2.553,1.18,-0.10,-9.45,1.15,-0.02,0.00,324.7,242.3,117.4,234.7,326.2,227.2,0,326.2,227.2,117.1,234.3,3,15.2,0.257,0.123,0.0000,50.1
