t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,oracle_cx,oracle_cy,oracle_w,oracle_h,det_bbox_cx,det_bbox_cy,det_new,track_cx,track_cy,track_w,track_h,track_id,pix_err_vs_oracle,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.00,0.00,-10.00,0.50,0.00,0.00,320.0,212.3,110.9,221.7,320.0,240.0,1,320.0,240.0,100.0,50.0,1,27.7,-0.000,0.000,0.0000,0.0
0.050,0.00,0.00,-10.00,0.51,0.00,0.00,320.0,211.6,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,28.4,-0.000,0.000,0.0000,50.1
0.100,0.00,0.00,-10.00,0.53,0.00,0.00,320.0,210.9,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,29.1,-0.000,0.000,0.0000,50.1
0.150,0.00,0.00,-10.00,0.54,0.00,0.00,320.0,210.2,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,29.8,-0.000,0.000,0.0000,50.1
0.200,0.00,0.00,-10.00,0.55,0.00,0.00,320.0,209.5,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,30.5,-0.000,0.000,0.0000,50.1
0.250,0.00,0.00,-10.00,0.56,0.00,0.00,320.0,208.8,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,31.2,-0.000,0.000,0.0000,50.1
0.300,0.00,0.00,-10.00,0.58,0.00,0.00,320.0,208.1,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,31.9,-0.000,0.000,0.0000,50.1
0.350,0.00,0.00,-10.00,0.59,0.00,0.00,320.0,207.4,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,32.6,-0.000,0.000,0.0000,50.1
0.400,0.00,0.00,-10.00,0.60,0.00,0.00,320.0,206.7,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,33.3,-0.000,0.000,0.0000,50.1
0.451,0.00,0.00,-10.00,0.61,0.00,0.00,320.0,206.0,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,34.0,-0.000,0.000,0.0000,50.1
0.501,0.00,0.00,-10.00,0.63,0.00,0.00,320.0,205.4,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,34.6,-0.000,0.000,0.0000,50.1
0.551,0.00,0.00,-10.00,0.64,0.00,0.00,320.0,204.7,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,35.3,-0.000,0.000,0.0000,50.1
0.601,0.00,0.00,-10.00,0.65,0.00,0.00,320.0,204.0,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,36.0,-0.000,0.000,0.0000,50.1
0.651,0.00,0.00,-10.00,0.66,0.00,0.00,320.0,203.3,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,36.7,-0.000,0.000,0.0000,50.1
0.701,0.00,0.00,-10.00,0.68,0.00,0.00,320.0,202.6,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,37.4,-0.000,0.000,0.0000,50.0
0.751,0.00,0.00,-10.00,0.69,0.00,0.00,320.0,201.9,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,38.1,-0.000,0.000,0.0000,50.1
0.801,0.00,0.00,-10.00,0.70,0.00,0.00,320.0,201.2,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,38.8,-0.000,0.000,0.0000,50.1
0.851,0.00,0.00,-10.00,0.71,0.00,0.00,320.0,200.5,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,39.5,-0.000,0.000,0.0000,50.1
0.901,0.00,0.00,-10.00,0.73,0.00,0.00,320.0,199.8,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,40.2,-0.000,0.000,0.0000,50.1
0.951,0.00,0.00,-10.00,0.74,0.00,0.00,320.0,199.1,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,40.9,-0.000,0.000,0.0000,50.1
1.001,0.00,0.00,-10.00,0.75,0.00,0.00,320.0,198.4,110.9,221.7,320.0,240.0,1,320.0,240.0,100.0,50.0,2,41.6,-0.000,0.000,0.0000,50.1
1.051,0.00,0.00,-10.00,0.76,0.00,0.00,320.0,197.7,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,42.3,-0.000,0.000,0.0000,50.1
1.101,0.00,0.00,-10.00,0.78,0.00,0.00,320.0,197.0,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,43.0,-0.000,0.000,0.0000,50.1
1.151,0.00,0.00,-10.00,0.79,0.00,0.00,320.0,196.3,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,43.7,-0.000,0.000,0.0000,50.1
1.201,0.00,0.00,-10.00,0.80,0.00,0.00,320.0,195.6,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,44.4,-0.000,0.000,0.0000,50.1
1.251,0.00,0.00,-10.00,0.81,0.00,0.00,320.0,194.9,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,45.1,-0.000,0.000,0.0000,50.1
1.302,0.00,0.00,-10.00,0.83,0.00,0.00,320.0,194.3,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,45.7,-0.000,0.000,0.0000,50.1
1.352,0.00,0.00,-10.00,0.84,0.00,0.00,320.0,193.6,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,46.4,-0.000,0.000,0.0000,50.1
1.402,0.00,0.00,-10.00,0.85,0.00,0.00,320.0,192.9,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,47.1,-0.000,0.000,0.0000,50.1
1.452,0.00,0.00,-10.00,0.86,0.00,0.00,320.0,192.2,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,47.8,-0.000,0.000,0.0000,50.1
1.502,0.00,0.00,-10.00,0.88,0.00,0.00,320.0,191.5,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,1,48.5,-0.000,0.000,0.0000,50.0
1.552,0.00,0.00,-10.00,0.89,0.00,0.00,320.0,190.8,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,49.2,-0.000,0.000,0.0000,50.1
1.602,0.00,0.00,-10.00,0.90,0.00,0.00,320.0,190.1,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,49.9,-0.000,0.000,0.0000,50.1
1.652,0.00,0.00,-10.00,0.91,0.00,0.00,320.0,189.4,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,50.6,-0.000,0.000,0.0000,50.1
1.702,0.00,0.00,-10.00,0.93,0.00,0.00,320.0,188.7,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,51.3,-0.000,0.000,0.0000,50.1
1.752,0.00,0.00,-10.00,0.94,0.00,0.00,320.0,188.0,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,52.0,-0.000,0.000,0.0000,50.1
1.802,0.00,0.00,-10.00,0.95,0.00,0.00,320.0,187.3,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,52.7,-0.000,0.000,0.0000,50.1
1.852,0.00,0.00,-10.00,0.96,0.00,0.00,320.0,186.6,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,53.4,-0.000,0.000,0.0000,50.1
1.902,0.00,0.00,-10.00,0.98,0.00,0.00,320.0,185.9,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,54.1,-0.000,0.000,0.0000,50.1
1.952,0.00,0.00,-10.00,0.99,0.00,0.00,320.0,185.2,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,54.8,-0.000,0.000,0.0000,50.1
2.002,0.00,0.00,-10.00,1.00,0.00,0.00,320.0,184.5,110.9,221.7,320.0,240.0,1,320.0,240.0,100.0,50.0,3,55.5,-0.000,0.000,0.0000,50.1
2.052,0.00,0.00,-10.00,1.01,0.00,0.00,320.0,183.8,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,56.2,-0.000,0.000,0.0000,50.1
2.103,0.00,0.00,-10.00,1.03,0.00,0.00,320.0,183.2,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,56.8,-0.000,0.000,0.0000,50.1
2.153,0.00,0.00,-10.00,1.04,0.00,0.00,320.0,182.5,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,57.5,-0.000,0.000,0.0000,50.1
2.203,0.00,0.00,-10.00,1.05,0.00,0.00,320.0,181.8,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,58.2,-0.000,0.000,0.0000,50.1
2.253,0.00,0.00,-10.00,1.06,0.00,0.00,320.0,181.1,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,58.9,-0.000,0.000,0.0000,50.1
2.303,0.00,0.00,-10.00,1.08,0.00,0.00,320.0,180.4,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,59.6,-0.000,0.000,0.0000,50.1
2.353,0.00,0.00,-10.00,1.09,0.00,0.00,320.0,179.7,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,60.3,-0.000,0.000,0.0000,50.0
2.403,0.00,0.00,-10.00,1.10,0.00,0.00,320.0,179.0,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,61.0,-0.000,0.000,0.0000,50.1
2.453,0.00,0.00,-10.00,1.11,0.00,0.00,320.0,178.3,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,61.7,-0.000,0.000,0.0000,50.1
2.503,0.00,0.00,-10.00,1.13,0.00,0.00,320.0,177.6,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,2,62.4,-0.000,0.000,0.0000,50.1
2.553,0.00,0.00,-10.00,1.14,0.00,0.00,320.0,176.9,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,3,63.1,-0.000,0.000,0.0000,50.1
2.603,0.00,0.00,-10.00,1.15,0.00,0.00,320.0,176.2,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,3,63.8,-0.000,0.000,0.0000,50.1
2.653,0.00,0.00,-10.00,1.16,0.00,0.00,320.0,175.5,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,3,64.5,-0.000,0.000,0.0000,50.1
2.703,0.00,0.00,-10.00,1.18,0.00,0.00,320.0,174.8,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,3,65.2,-0.000,0.000,0.0000,50.1
2.753,0.00,0.00,-10.00,1.19,0.00,0.00,320.0,174.1,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,3,65.9,-0.000,0.000,0.0000,50.1
2.803,0.00,0.00,-10.00,1.20,0.00,0.00,320.0,173.4,110.9,221.7,320.0,240.0,0,320.0,240.0,100.0,50.0,3,66.6,-0.000,0.000,0.0000,50.1
